age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
3,0,0,11,8,2,8,1,0,0,0,0,12,0,0
2,0,3,7,11,2,8,4,0,0,0,0,22,0,0
11,0,4,15,9,1,7,3,4,0,0,9,12,0,0
1,0,0,15,9,2,8,1,0,0,0,0,6,0,0
0,0,5,1,6,2,4,1,0,0,0,0,6,0,0
5,0,1,15,9,3,8,1,0,0,0,0,12,0,0
21,2,3,15,9,1,4,3,0,0,0,0,12,0,0
16,3,1,15,9,0,8,0,0,0,0,0,9,0,0
9,8,2,11,8,2,14,3,0,0,0,0,9,0,0
4,0,2,9,12,2,8,4,1,0,0,0,12,39,0
13,0,2,6,4,1,2,3,0,0,0,0,11,4,0
4,0,2,15,9,0,0,0,0,0,0,0,12,0,0
8,0,4,15,9,1,0,5,0,0,0,0,15,0,0
23,8,0,12,13,2,14,3,0,0,0,0,7,0,0
7,0,1,11,8,1,8,3,0,0,0,0,12,0,0
5,0,1,15,9,1,4,5,0,0,0,0,12,0,0
18,0,2,11,8,0,6,0,4,0,0,0,12,0,0
17,1,1,15,9,4,9,5,0,0,0,0,15,0,0
18,1,0,11,8,0,1,0,0,0,0,0,4,0,0
11,0,2,11,8,0,3,0,0,0,0,0,12,0,1
2,8,2,11,8,0,14,1,0,0,0,0,0,0,0
1,8,2,11,8,2,14,3,0,0,0,0,8,0,0
7,0,2,9,12,0,5,0,4,0,4,0,12,0,1
1,0,2,15,9,2,8,1,0,0,0,0,10,0,0
1,0,0,15,9,2,3,3,0,0,0,0,6,0,0
3,0,5,9,12,0,3,0,0,0,1,0,13,0,1
5,3,2,9,12,2,4,3,4,0,0,0,12,0,0
2,0,4,15,9,2,3,1,4,0,0,0,12,0,0
2,0,3,1,6,1,3,4,0,0,0,0,7,0,0
3,0,6,11,8,2,7,3,0,0,0,0,12,0,0
2,0,4,4,2,2,11,4,0,0,0,0,12,36,0
11,0,3,0,5,1,0,5,4,0,0,0,11,0,0
2,0,4,9,12,2,5,1,0,0,0,0,12,0,0
7,3,8,11,8,1,0,5,0,0,0,0,12,0,0
1,0,3,11,8,2,7,1,4,0,0,0,12,0,0
2,0,3,15,9,2,8,1,0,0,0,0,7,0,0
1,0,0,11,8,0,8,0,0,0,0,0,6,0,0
7,3,2,11,8,1,8,3,0,0,0,0,15,0,0
7,8,3,11,8,1,14,5,0,0,0,0,8,0,0
0,0,8,2,7,2,2,1,4,0,0,0,10,0,0
0,0,3,15,9,2,3,1,0,0,0,0,6,0,0
16,0,1,5,3,3,2,1,4,0,0,0,11,0,0
1,0,3,15,9,2,2,1,0,0,0,0,3,0,0
10,0,6,3,1,0,2,0,0,0,0,0,12,0,0
16,0,4,11,8,1,8,4,0,0,0,0,12,0,0
3,0,2,8,10,1,3,1,0,0,0,0,10,0,0
4,0,7,11,8,3,2,5,0,0,0,0,15,0,0
12,0,2,11,8,1,2,5,0,0,0,0,7,0,0
6,0,1,15,9,2,2,1,1,0,0,0,12,15,0
2,5,4,11,8,2,2,1,0,0,0,0,6,0,0
0,0,8,1,6,2,3,1,0,0,0,0,4,0,0
4,0,0,9,12,2,5,3,0,0,0,0,15,0,0
7,0,2,15,9,2,4,3,0,0,0,0,12,0,0
6,0,4,15,9,3,0,5,0,0,0,0,15,0,0
8,4,3,11,8,0,2,0,0,0,0,0,9,0,0
4,5,1,9,12,2,8,1,1,0,0,0,12,0,1
15,0,4,9,12,0,0,0,0,0,0,0,12,0,1
15,4,3,12,13,4,5,3,0,0,0,0,12,0,0
0,0,6,0,5,2,8,1,0,0,0,0,6,0,0
3,0,1,9,12,0,4,0,0,0,0,0,12,0,0
10,0,3,2,7,5,3,5,0,0,0,0,7,41,0
11,0,3,11,8,0,2,0,0,0,0,0,9,0,1
19,4,5,5,3,4,2,3,0,0,0,0,4,0,0
4,0,7,9,12,2,8,1,4,0,0,0,12,0,0
1,0,5,11,8,2,3,5,0,0,0,0,11,0,0
10,4,4,12,13,4,5,5,4,0,0,0,12,0,0
7,0,1,7,11,0,3,0,0,0,0,0,4,0,0
3,8,3,1,6,2,14,5,0,0,0,0,12,0,0
3,0,5,8,10,0,4,0,0,0,0,0,12,0,0
15,0,3,11,8,1,3,3,0,0,0,0,8,0,0
3,0,4,15,9,2,0,5,0,0,0,0,7,0,0
